Standing,Name,Born,Nation,Session,Bodyweight,FirstAttempt,SecondAttempt,ThirdAttempt,Result
1,NASAR Karlos May,12.06.2004,BUL,A,93.35,210,220,229,229
2,DAVITADZE Revaz,16.10.1998,GEO,A,94.75,201,205,208,205
3,HOVHANNISYAN Davit,14.01.1997,ARM,A,95.85,203,207,207,203
4,KLIMONOV Egor,24.08.1992,AIN,A,96.00,202,203,207,203
5,ADAMUS Bartlomiej,12.05.2000,POL,A,96.00,192,197,201,197
6,SERDIUKOV Anton,28.03.1998,UKR,A,96.00,190,195,198,195
7,GOBEJISHVILI Irakli,10.10.2000,GEO,A,95.10,188,194,202,194
8,KURNAZ Hakan Sukru,31.05.2004,TUR,A,95.80,185,191,196,191
9,TATARU Darius Stefan,19.12.2004,ROU,B,94.90,176,182,190,190
10,SAMKO Karol,09.03.1990,SVK,B,96.00,185,190,190,190
11,SIMBUERGER Elias,28.03.2004,AUT,B,92.60,183,189,195,189
12,TSCHAN Yannick,30.08.1996,SUI,B,95.90,182,189,189,182
13,PELTOKANGAS Antti,20.05.1995,FIN,B,96.00,180,185,189,180
14,BARTECEK Jakub,04.12.2000,CZE,B,96.00,165,169,173,173
15,POZIDIS Spyridon,21.02.1998,GRE,B,95.65,168,172,177,172
16,MARGULIS Yanush,04.02.2006,ISR,B,95.10,167,171,175,171
17,BARNES Ciaran,08.08.1998,IRL,B,95.00,160,166,171,171
18,ROCHE Shane,10.06.2002,IRL,B,95.35,163,167,168,168
19,DOBNIK Peter,08.07.1991,SLO,B,93.50,150,160,170,160